year,iso3c,employed,total_hours
2015,MEX,49541846,110678876000
2015,NLD,8776000,12623528000
2015,NZL,2367700,4076644000
2015,NOR,2710000,3866000000
2015,POL,15970000,32722676000
2015,PRT,4590785,8577921000
2015,SVK,2267097,3976689000
2015,SVN,944092,1592998000
2015,ESP,18614800,31458249000
2015,SWE,4877700,7894410000
2015,CHE,4899154.814,7724346000
2015,GBR,31285035,51854295000
2015,USA,151006000,263197000000
2015,BRA,101955076,NA
2015,BGR,3446214,5666897000
2015,HRV,1561739,2852730000
2015,CYP,369117,673397000
2015,MLT,199402,385651000
2015,MKD,776746,NA
2015,ROU,8525700,15224096000
2015,RUS,72424900,NA
2015,ZAF,15740732.505,NA
2016,AUT,4348164,7011041000
2016,CHL,8389930.36,NA
2016,CRI,1951623,4317738000
2016,CZE,5228533,9271160000
2016,DNK,2873406,4057307000
2016,EST,624700,1158943000
2016,FIN,2532000,4062400000
2016,DEU,43686000,60978246000
2016,GRC,4469514,9159918000
2016,IRL,2131382,3671779000
2016,ISR,4031969.33,7735454000
2016,ITA,24650900,41712758000
2016,JPN,66138000,NA
2016,KOR,26409100,54464406000
2016,LVA,886298,1686172000
2016,LTU,1374294,2635787000
2016,LUX,417520,633782000
2016,MEX,50589568,113216392000
2016,NLD,8909000,12927763000
2016,NZL,2480500,4275970000.0000005
2016,NOR,2717000,3885000000
2016,POL,16099700,33028201999.999996
2016,PRT,4671440,8757435000
